레시피ID,품목ID,레시피원료명,소모량,단위
R0120,P0096,크래프트 큐브 치즈케익,16.0,g
R0120,P0085,매일 연유,5.0,g
R0121,P0046,우유,50.0,ml
R0121,P0121,블루베리 굿플잼,40.0,g
R0121,P0019,시럽,10.0,g
R0121,P0007,빽쿡 냉동블루베리,60.0,g
R0121,P0060,나타드코코,20.0,g
R0121,P0096,크래프트 큐브 치즈케익,16.0,g
R0121,P0085,매일 연유,5.0,g
R0122,P0046,우유,50.0,ml
R0122,P0049,초코소스,20.0,g
R0122,P0085,매일 연유,25.0,g
R0122,P0019,시럽,10.0,g
R0122,P0122,초코볼,12.0,g
R0122,P0094,초코쉘,5.0,g
R0122,P0011,당코팅 현미크런치,10.0,g
R0122,P0033,초코브라우니,11.0,g
R0122,P0031,도블라 컬스 미니 다크 초콜릿,5.0,g
R0122,P0096,크래프트 큐브 치즈케익,16.0,g
R0123,P0046,우유,200.0,ml
R0123,P0042,빽다방 밀크파우더,16.0,g
R0123,P0131,딸기소스,30.0,g
R0123,P0130,딸기베이스,80.0,g
R0123,P0048,휘핑크림,20.0,g
R0123,P0115,동결건조 딸기 다이스,1.0,g
R0123,P0124,발바닥 사인판,1.0,EA
R0124,P0046,우유,200.0,ml
R0124,P0042,빽다방 밀크파우더,16.0,g
R0124,P0019,시럽,10.0,g
R0124,P0049,초코소스,40.0,g
R0124,P0123,코코볼,18.0,g
R0124,P0048,휘핑크림,20.0,g
R0124,P0123,초코볼 토핑용,1.5,g
R0124,P0124,발바닥 사인판,1.0,EA
R0125,P0109,자두샤베트파우더,68.0,g
R0126,P0110,애플샤베트파우더,68.0,g
R0127,P0046,우유,200.0,ml
R0127,P0107,코코넛파우더,60.0,g
R0127,P0045,원두,18.5,g
R0127,P0108,코코넛칩,5.0,g
R0128,P0107,코코넛파우더,36.0,g
R0128,P0045,원두,18.5,g
R0128,P0046,우유,250.0,ml
R0128,P0108,코코넛칩,5.0,g
R0129,P0107,코코넛파우더,36.0,g
R0129,P0045,원두,18.5,g
R0129,P0046,우유,250.0,ml
R0129,P0108,코코넛칩,5.0,g
R0130,P0126,민트초코파우더,75.0,g
R0130,P0046,우유,250.0,ml
R0131,P0126,민트초코파우더,75.0,g
R0131,P0046,우유,250.0,ml
R0132,P0046,우유,200.0,ml
R0132,P0126,민트초코파우더,105.0,g
